src_key,dst_key
blocks.0.0.bn1.bias,
blocks.0.0.bn1.num_batches_tracked,
blocks.0.0.bn1.running_mean,
blocks.0.0.bn1.running_var,
blocks.0.0.bn1.weight,
blocks.0.0.bn2.bias,
blocks.0.0.bn2.num_batches_tracked,
blocks.0.0.bn2.running_mean,
blocks.0.0.bn2.running_var,
blocks.0.0.bn2.weight,
blocks.0.0.conv_dw.weight,
blocks.0.0.conv_pw.weight,
blocks.1.0.bn1.bias,
blocks.1.0.bn1.num_batches_tracked,
blocks.1.0.bn1.running_mean,
blocks.1.0.bn1.running_var,
blocks.1.0.bn1.weight,
blocks.1.0.bn2.bias,
blocks.1.0.bn2.num_batches_tracked,
blocks.1.0.bn2.running_mean,
blocks.1.0.bn2.running_var,
blocks.1.0.bn2.weight,
blocks.1.0.bn3.bias,
blocks.1.0.bn3.num_batches_tracked,
blocks.1.0.bn3.running_mean,
blocks.1.0.bn3.running_var,
blocks.1.0.bn3.weight,
blocks.1.0.conv_dw.weight,
blocks.1.0.conv_pw.weight,
blocks.1.0.conv_pwl.weight,
blocks.1.1.bn1.bias,
blocks.1.1.bn1.num_batches_tracked,
blocks.1.1.bn1.running_mean,
blocks.1.1.bn1.running_var,
blocks.1.1.bn1.weight,
blocks.1.1.bn2.bias,
blocks.1.1.bn2.num_batches_tracked,
blocks.1.1.bn2.running_mean,
blocks.1.1.bn2.running_var,
blocks.1.1.bn2.weight,
blocks.1.1.bn3.bias,
blocks.1.1.bn3.num_batches_tracked,
blocks.1.1.bn3.running_mean,
blocks.1.1.bn3.running_var,
blocks.1.1.bn3.weight,
blocks.1.1.conv_dw.weight,
blocks.1.1.conv_pw.weight,
blocks.1.1.conv_pwl.weight,
blocks.2.0.bn1.bias,
blocks.2.0.bn1.num_batches_tracked,
blocks.2.0.bn1.running_mean,
blocks.2.0.bn1.running_var,
blocks.2.0.bn1.weight,
blocks.2.0.bn2.bias,
blocks.2.0.bn2.num_batches_tracked,
blocks.2.0.bn2.running_mean,
blocks.2.0.bn2.running_var,
blocks.2.0.bn2.weight,
blocks.2.0.bn3.bias,
blocks.2.0.bn3.num_batches_tracked,
blocks.2.0.bn3.running_mean,
blocks.2.0.bn3.running_var,
blocks.2.0.bn3.weight,
blocks.2.0.conv_dw.weight,
blocks.2.0.conv_pw.weight,
blocks.2.0.conv_pwl.weight,
blocks.2.1.bn1.bias,
blocks.2.1.bn1.num_batches_tracked,
blocks.2.1.bn1.running_mean,
blocks.2.1.bn1.running_var,
blocks.2.1.bn1.weight,
blocks.2.1.bn2.bias,
blocks.2.1.bn2.num_batches_tracked,
blocks.2.1.bn2.running_mean,
blocks.2.1.bn2.running_var,
blocks.2.1.bn2.weight,
blocks.2.1.bn3.bias,
blocks.2.1.bn3.num_batches_tracked,
blocks.2.1.bn3.running_mean,
blocks.2.1.bn3.running_var,
blocks.2.1.bn3.weight,
blocks.2.1.conv_dw.weight,
blocks.2.1.conv_pw.weight,
blocks.2.1.conv_pwl.weight,
blocks.2.2.bn1.bias,
blocks.2.2.bn1.num_batches_tracked,
blocks.2.2.bn1.running_mean,
blocks.2.2.bn1.running_var,
blocks.2.2.bn1.weight,
blocks.2.2.bn2.bias,
blocks.2.2.bn2.num_batches_tracked,
blocks.2.2.bn2.running_mean,
blocks.2.2.bn2.running_var,
blocks.2.2.bn2.weight,
blocks.2.2.bn3.bias,
blocks.2.2.bn3.num_batches_tracked,
blocks.2.2.bn3.running_mean,
blocks.2.2.bn3.running_var,
blocks.2.2.bn3.weight,
blocks.2.2.conv_dw.weight,
blocks.2.2.conv_pw.weight,
blocks.2.2.conv_pwl.weight,
blocks.3.0.bn1.bias,
blocks.3.0.bn1.num_batches_tracked,
blocks.3.0.bn1.running_mean,
blocks.3.0.bn1.running_var,
blocks.3.0.bn1.weight,
blocks.3.0.bn2.bias,
blocks.3.0.bn2.num_batches_tracked,
blocks.3.0.bn2.running_mean,
blocks.3.0.bn2.running_var,
blocks.3.0.bn2.weight,
blocks.3.0.bn3.bias,
blocks.3.0.bn3.num_batches_tracked,
blocks.3.0.bn3.running_mean,
blocks.3.0.bn3.running_var,
blocks.3.0.bn3.weight,
blocks.3.0.conv_dw.weight,
blocks.3.0.conv_pw.weight,
blocks.3.0.conv_pwl.weight,
blocks.3.1.bn1.bias,
blocks.3.1.bn1.num_batches_tracked,
blocks.3.1.bn1.running_mean,
blocks.3.1.bn1.running_var,
blocks.3.1.bn1.weight,
blocks.3.1.bn2.bias,
blocks.3.1.bn2.num_batches_tracked,
blocks.3.1.bn2.running_mean,
blocks.3.1.bn2.running_var,
blocks.3.1.bn2.weight,
blocks.3.1.bn3.bias,
blocks.3.1.bn3.num_batches_tracked,
blocks.3.1.bn3.running_mean,
blocks.3.1.bn3.running_var,
blocks.3.1.bn3.weight,
blocks.3.1.conv_dw.weight,
blocks.3.1.conv_pw.weight,
blocks.3.1.conv_pwl.weight,
blocks.3.2.bn1.bias,
blocks.3.2.bn1.num_batches_tracked,
blocks.3.2.bn1.running_mean,
blocks.3.2.bn1.running_var,
blocks.3.2.bn1.weight,
blocks.3.2.bn2.bias,
blocks.3.2.bn2.num_batches_tracked,
blocks.3.2.bn2.running_mean,
blocks.3.2.bn2.running_var,
blocks.3.2.bn2.weight,
blocks.3.2.bn3.bias,
blocks.3.2.bn3.num_batches_tracked,
blocks.3.2.bn3.running_mean,
blocks.3.2.bn3.running_var,
blocks.3.2.bn3.weight,
blocks.3.2.conv_dw.weight,
blocks.3.2.conv_pw.weight,
blocks.3.2.conv_pwl.weight,
blocks.3.3.bn1.bias,
blocks.3.3.bn1.num_batches_tracked,
blocks.3.3.bn1.running_mean,
blocks.3.3.bn1.running_var,
blocks.3.3.bn1.weight,
blocks.3.3.bn2.bias,
blocks.3.3.bn2.num_batches_tracked,
blocks.3.3.bn2.running_mean,
blocks.3.3.bn2.running_var,
blocks.3.3.bn2.weight,
blocks.3.3.bn3.bias,
blocks.3.3.bn3.num_batches_tracked,
blocks.3.3.bn3.running_mean,
blocks.3.3.bn3.running_var,
blocks.3.3.bn3.weight,
blocks.3.3.conv_dw.weight,
blocks.3.3.conv_pw.weight,
blocks.3.3.conv_pwl.weight,
blocks.4.0.bn1.bias,
blocks.4.0.bn1.num_batches_tracked,
blocks.4.0.bn1.running_mean,
blocks.4.0.bn1.running_var,
blocks.4.0.bn1.weight,
blocks.4.0.bn2.bias,
blocks.4.0.bn2.num_batches_tracked,
blocks.4.0.bn2.running_mean,
blocks.4.0.bn2.running_var,
blocks.4.0.bn2.weight,
blocks.4.0.bn3.bias,
blocks.4.0.bn3.num_batches_tracked,
blocks.4.0.bn3.running_mean,
blocks.4.0.bn3.running_var,
blocks.4.0.bn3.weight,
blocks.4.0.conv_dw.weight,
blocks.4.0.conv_pw.weight,
blocks.4.0.conv_pwl.weight,
blocks.4.1.bn1.bias,
blocks.4.1.bn1.num_batches_tracked,
blocks.4.1.bn1.running_mean,
blocks.4.1.bn1.running_var,
blocks.4.1.bn1.weight,
blocks.4.1.bn2.bias,
blocks.4.1.bn2.num_batches_tracked,
blocks.4.1.bn2.running_mean,
blocks.4.1.bn2.running_var,
blocks.4.1.bn2.weight,
blocks.4.1.bn3.bias,
blocks.4.1.bn3.num_batches_tracked,
blocks.4.1.bn3.running_mean,
blocks.4.1.bn3.running_var,
blocks.4.1.bn3.weight,
blocks.4.1.conv_dw.weight,
blocks.4.1.conv_pw.weight,
blocks.4.1.conv_pwl.weight,
blocks.4.2.bn1.bias,
blocks.4.2.bn1.num_batches_tracked,
blocks.4.2.bn1.running_mean,
blocks.4.2.bn1.running_var,
blocks.4.2.bn1.weight,
blocks.4.2.bn2.bias,
blocks.4.2.bn2.num_batches_tracked,
blocks.4.2.bn2.running_mean,
blocks.4.2.bn2.running_var,
blocks.4.2.bn2.weight,
blocks.4.2.bn3.bias,
blocks.4.2.bn3.num_batches_tracked,
blocks.4.2.bn3.running_mean,
blocks.4.2.bn3.running_var,
blocks.4.2.bn3.weight,
blocks.4.2.conv_dw.weight,
blocks.4.2.conv_pw.weight,
blocks.4.2.conv_pwl.weight,
blocks.5.0.bn1.bias,
blocks.5.0.bn1.num_batches_tracked,
blocks.5.0.bn1.running_mean,
blocks.5.0.bn1.running_var,
blocks.5.0.bn1.weight,
blocks.5.0.bn2.bias,
blocks.5.0.bn2.num_batches_tracked,
blocks.5.0.bn2.running_mean,
blocks.5.0.bn2.running_var,
blocks.5.0.bn2.weight,
blocks.5.0.bn3.bias,
blocks.5.0.bn3.num_batches_tracked,
blocks.5.0.bn3.running_mean,
blocks.5.0.bn3.running_var,
blocks.5.0.bn3.weight,
blocks.5.0.conv_dw.weight,
blocks.5.0.conv_pw.weight,
blocks.5.0.conv_pwl.weight,
blocks.5.1.bn1.bias,
blocks.5.1.bn1.num_batches_tracked,
blocks.5.1.bn1.running_mean,
blocks.5.1.bn1.running_var,
blocks.5.1.bn1.weight,
blocks.5.1.bn2.bias,
blocks.5.1.bn2.num_batches_tracked,
blocks.5.1.bn2.running_mean,
blocks.5.1.bn2.running_var,
blocks.5.1.bn2.weight,
blocks.5.1.bn3.bias,
blocks.5.1.bn3.num_batches_tracked,
blocks.5.1.bn3.running_mean,
blocks.5.1.bn3.running_var,
blocks.5.1.bn3.weight,
blocks.5.1.conv_dw.weight,
blocks.5.1.conv_pw.weight,
blocks.5.1.conv_pwl.weight,
blocks.5.2.bn1.bias,
blocks.5.2.bn1.num_batches_tracked,
blocks.5.2.bn1.running_mean,
blocks.5.2.bn1.running_var,
blocks.5.2.bn1.weight,
blocks.5.2.bn2.bias,
blocks.5.2.bn2.num_batches_tracked,
blocks.5.2.bn2.running_mean,
blocks.5.2.bn2.running_var,
blocks.5.2.bn2.weight,
blocks.5.2.bn3.bias,
blocks.5.2.bn3.num_batches_tracked,
blocks.5.2.bn3.running_mean,
blocks.5.2.bn3.running_var,
blocks.5.2.bn3.weight,
blocks.5.2.conv_dw.weight,
blocks.5.2.conv_pw.weight,
blocks.5.2.conv_pwl.weight,
blocks.6.0.bn1.bias,
blocks.6.0.bn1.num_batches_tracked,
blocks.6.0.bn1.running_mean,
blocks.6.0.bn1.running_var,
blocks.6.0.bn1.weight,
blocks.6.0.bn2.bias,
blocks.6.0.bn2.num_batches_tracked,
blocks.6.0.bn2.running_mean,
blocks.6.0.bn2.running_var,
blocks.6.0.bn2.weight,
blocks.6.0.bn3.bias,
blocks.6.0.bn3.num_batches_tracked,
blocks.6.0.bn3.running_mean,
blocks.6.0.bn3.running_var,
blocks.6.0.bn3.weight,
blocks.6.0.conv_dw.weight,
blocks.6.0.conv_pw.weight,
blocks.6.0.conv_pwl.weight,
bn1.bias,base.stem.bn.bias
bn1.num_batches_tracked,base.stem.bn.num_batches_tracked
bn1.running_mean,base.stem.bn.running_mean
bn1.running_var,base.stem.bn.running_var
bn1.weight,base.stem.bn.weight
bn2.bias,base.last.bn.bias
bn2.num_batches_tracked,base.last.bn.num_batches_tracked
bn2.running_mean,base.last.bn.running_mean
bn2.running_var,base.last.bn.running_var
bn2.weight,base.last.bn.weight
classifier.bias,
classifier.weight,
conv_head.weight,base.last.weight
conv_stem.weight,base.stem.weight
